male	max_count	median	date	n	mean	min_count	filename	nulls	mean_count	sd	female	min	other	median_count	max	study accession	primary phenotype
			2020/09/18				./data/phs001087.v3.pht005759.v3.p1.UC_Sample.var_report.xml									phs001087.v3.p1	Carcinoma, Transitional Cell
			2018/02/20				./data/phs001528.v1.pht007361.v1.p1.SCCOHT_Sample.var_report.xml									phs001528.v1.p1	Ovarian Neoplasms
			07/27/2017				./data/phs000596.v1.pht006719.v1.p1.volumetric_chest_ct.var_report.xml									phs000596.v1.p1	Primary ciliary dyskinesia
679.0	764.0		2021/01/27	950.0		679.0	./data/phs000584.v1.pht010796.v1.p1.CIDR_Longevity_Pedigree.var_report.xml	0.0	721.5	60.1	764.0			721.5		phs000584.v1.p1	Longevity
			07/18/2014				./data/phs000775.v1.pht003946.v1.p1.Molecular_Genetics_Schizophrenia_Sample_Attributes.var_report.xml									phs000775.v1.p1	Schizophrenia
			2021/02/12				./data/phs001771.v1.pht008718.v1.p1.IGNITE_Sample_Attributes.var_report.xml									phs001771.v1.p1	Diabetes Mellitus
			06/20/2014				./data/phs000759.v1.pht003914.v1.p1.High_Risk_AML_Sample_Attributes.var_report.xml									phs000759.v1.p1	Leukemia, Myeloid, Acute
			10/18/2016				./data/phs001205.v1.pht005851.v1.p1.Neural_Stem_Cell_Lineages_Sample.var_report.xml									phs001205.v1.p1	Neural Stem Cells
			06/12/2017				./data/phs000594.v1.pht006501.v1.p1.DrugLog.var_report.xml									phs000594.v1.p1	Leukemia, Large Granular Lymphocytic
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000530.v2.p3.simphen131.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			08/20/2013				./data/phs000285.v3.pht001825.v2.p2.F1F48.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			01/21/2016				./data/phs000991.v1.pht005256.v1.p1.VESPA_Cohort_Sample.var_report.xml									phs000991.v1.p1	Dose-Response Relationship, Drug
959.0	889.0		2020/01/23	91.0		897.0	./data/phs000287.v7.pht001450.v1.p1.BASE1.var_report.xml	95.0	825.5	8.485	938.0			825.5		phs000287.v7.p1	Cardiovascular Diseases
72.0	628.0		06/22/2016	983.0		72.0	./data/phs001012.v1.pht005550.v1.p1.Diabetes_Heart_Study_EA_Subject_Phenotypes.var_report.xml	0.0	96.5	341.3	628.0			96.5		phs001012.v1.p1	Cardiovascular Diseases
			08/20/2013				./data/phs000285.v3.pht001656.v2.p2.C1F08.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2018/05/15				./data/phs001484.v1.pht007738.v1.p1.ATV_Bilirubin_Sample.var_report.xml									phs001484.v1.p1	Drug-Related Side Effects and Adverse Reactions
			2018/12/27				./data/phs000756.v1.pht007373.v1.p1.FINRISK_Sample_Attributes.var_report.xml									phs000756.v1.p1	
	14.0		08/22/2016	14.0		14.0	./data/phs001152.v1.pht005536.v1.p1.Endometrial_Carcinosarcomas_Subject_Phenotypes.var_report.xml	0.0	14.0		14.0			14.0		phs001152.v1.p1	Endometrial Neoplasms
133.0	133.0		2018/08/19	247.0		114.0	./data/phs000101.v5.pht003748.v1.p1.ALS_Subject_Phenotypes.var_report.xml	0.0	123.5	13.44	114.0			123.5		phs000101.v5.p1	Amyotrophic Lateral Sclerosis
			2019/07/26				./data/phs000588.v1.pht009282.v1.p1.angiogram_celiacmesentericrenal.var_report.xml									phs000588.v1.p1	Giant Cell Arteritis
			2019/03/11				./data/phs000286.v6.pht001958.v2.p2.isla.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
			2018/07/06				./data/phs000416.v2.pht002745.v2.p1.GOCHA_Subject.var_report.xml									phs000416.v2.p1	Intracranial Hemorrhage
			2021/05/12				./data/phs000964.v5.pht004840.v2.p1.TOPMed_WGS_JHS_Sample_Attributes.var_report.xml									phs000964.v5.p1	Cardiovascular Diseases
			01/19/2010				./data/phs000219.v1.pht001081.v1.p1.d_elig2_trans.var_report_2010_01_19.xml									phs000219.v1.p1	Alzheimer Disease
			2021/03/24				./data/phs000720.v4.pht003880.v2.p1.Pediatric_Rhabdomyosarcoma_Subject_Phenotypes.var_report.xml									phs000720.v4.p1	Rhabdomyosarcoma
			11/16/2015				./data/phs001026.v1.pht005119.v1.p1.CSER_BASIC3_Subject.var_report.xml									phs001026.v1.p1	Genes, Neoplasm
			11/04/2014				./data/phs000086.v3.pht000339.v1.p1.EDIC_f0703.var_report.xml									phs000086.v3.p1	Insulin-Dependent Diabetes Mellitus
			09/11/2014				./data/phs000795.v1.pht004014.v1.p1.Gastric_Cancer_Metastasis_Sample.var_report.xml									phs000795.v1.p1	Stomach Neoplasms
			2017/08/31				./data/phs000939.v2.pht004790.v2.p1.Lymphoma_Oncogene_Dysregulation_Sample_Attributes.var_report.xml									phs000939.v2.p1	Lymphoma, B-Cell
			2021/06/07				./data/phs001998.v1.pht010503.v1.p1.CLL_allo_HSCT_Sample.var_report.xml									phs001998.v1.p1	Leukemia, Lymphocytic, Chronic, B-Cell
			2021/08/17				./data/phs001661.v3.pht010559.v1.p1.TOPMed_WGS_GCPD_A_Sample.var_report.xml									phs001661.v3.p1	Asthma
			2020/06/18				./data/phs000280.v7.pht004101.v5.p1.HFCHDXPS16.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
			2020/02/13				./data/phs001975.v1.pht009881.v1.p1.SDV_iPSCs_Subject.var_report.xml									phs001975.v1.p1	
			04/24/2012				./data/phs000491.v1.pht002698.v1.p1.Renal_Cell_Carcinoma_Sample.var_report.xml									phs000491.v1.p1	Carcinoma, Renal Cell
			2018/10/19				./data/phs000492.v3.pht002710.v3.p2.Developmental_Brain_Disorders_Sample_Attributes.var_report.xml									phs000492.v3.p2	Microcephaly
			2019/03/05				./data/phs001788.v1.pht008816.v1.p1.CNICS_Sample.var_report.xml									phs001788.v1.p1	HIV Infections
			03/12/2013				./data/phs000343.v3.pht003147.v1.p1.medcod.var_report.xml									phs000343.v3.p1	Stroke
			2020/02/06				./data/phs001430.v2.pht008071.v2.p1.p7001_15783_previsit1.var_report.xml									phs001430.v2.p1	Smith-Lemli-Opitz Syndrome
			2020/12/21				./data/phs000007.v32.pht002894.v1.p13.l_mtblcmhi2_ex05_1_0708s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			06/14/2010				./data/phs000263.v1.pht001235.v1.p1.HMP_Skin_Acne_Subject.var_report.xml									phs000263.v1.p1	Acne Vulgaris
			08/20/2013				./data/phs000285.v3.pht001767.v2.p2.E1F09MAS.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2019/03/25				./data/phs001777.v1.pht008857.v1.p1.SCO_Syndrome_Sample.var_report.xml									phs001777.v1.p1	Sertoli Cell-Only Syndrome
			02/24/2012				./data/phs000001.v3.pht000382.v2.p1.vfq.var_report.xml									phs000001.v3.p1	Cataract
			2019/12/26				./data/phs001862.v1.pht009747.v1.p1.PBB_Sample.var_report.xml									phs001862.v1.p1	Endocrine Disruptors
			2021/05/18				./data/phs002385.v1.pht011243.v1.p1.CIBMTR_HCTforSCD_Subject.var_report.xml									phs002385.v1.p1	Sickle Cell Disease
			2019/09/16				./data/phs001718.v1.pht009427.v1.p1.C9ORF72_Sample_Attributes.var_report.xml									phs001718.v1.p1	Amyotrophic Lateral Sclerosis
55.0	55.0		08/05/2016	55.0		55.0	./data/phs000923.v1.pht005494.v1.p1.Germ_Cell_Tumors_Subject_Phenotypes.var_report.xml	0.0	55.0					55.0		phs000923.v1.p1	Male Germ Cell Tumor
			2018/02/08				./data/phs001488.v1.pht007404.v1.p1.lineornt.var_report.xml									phs001488.v1.p1	Huntington Disease
			2020/06/18				./data/phs000280.v7.pht004041.v2.p1.BPU01.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
			11/07/2012				./data/phs000538.v1.pht003039.v1.p1.Mendelian_Familial_Hyperlipidemia_Subject.var_report.xml									phs000538.v1.p1	Hyperlipidemia, Familial Combined
			02/06/2017				./data/phs001075.v1.pht006109.v1.p1.CSER_CanSeq_Sample.var_report.xml									phs001075.v1.p1	Neoplasms
			12/06/2012				./data/phs000565.v1.pht003077.v1.p1.RHD_Sample_Attributes.var_report.xml									phs000565.v1.p1	Congenital Abnormalities
			11/30/2015				./data/phs000260.v4.pht001257.v4.p2.HMP_Foregut_Esophageal_Adenocarcinoma_Sample.var_report.xml									phs000260.v4.p2	Esophageal Adenocarcinoma
			2020/12/21				./data/phs000007.v32.pht010747.v1.p13.t_tonla_ex28_0_1230s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			06/22/2017				./data/phs001250.v1.pht006328.v1.p1.Primary_Breast_Cancers_Sample_Attributes.var_report.xml									phs001250.v1.p1	Breast Neoplasms
			2019/08/10				./data/phs001657.v1.pht009391.v1.p1.AML_Subject.var_report.xml									phs001657.v1.p1	Leukemia, Myeloid, Acute
			2017/11/01				./data/phs001305.v1.pht007101.v1.p1.adverse_event.var_report.xml									phs001305.v1.p1	Urea Cycle Disorders, Inborn
			05/24/2016				./data/phs001065.v1.pht005412.v1.p1.incident.var_report.xml									phs001065.v1.p1	Huntington Disease
			05/14/2013				./data/phs000609.v1.pht003283.v1.p1.AutismGeneExpression_Subject.var_report.xml									phs000609.v1.p1	Autism
			2020/03/26				./data/phs001929.v1.pht010012.v1.p1.Neurogenetics_OCD_Subject.var_report.xml									phs001929.v1.p1	Obsessive-Compulsive Disorder
			08/17/2012				./data/phs000518.v1.pht002846.v1.p1.ESP_Family_Studies_IB_Subject.var_report.xml									phs000518.v1.p1	Bronchiectasis
			2021/08/23				./data/phs001232.v4.pht006077.v4.p2.UDN_Sample.var_report.xml									phs001232.v4.p2	Rare Diseases
312.0	588.0		03/29/2017	900.0		312.0	./data/phs001191.v1.pht006226.v1.p1.eMERGE_NUgene_WGS_Subject_Phenotypes.var_report.xml	0.0	450.0	195.2	588.0			450.0		phs001191.v1.p1	Healthy Volunteers
			2018/06/14				./data/phs001238.v2.pht006031.v1.p1.GENOA_AfricanAmerican_CKD_Labs.var_report.xml									phs001238.v2.p1	Hypertension
			04/06/2016				./data/phs001080.v1.pht005369.v1.p1.Hereditary_Spastic_Paraplegia_Subject.var_report.xml									phs001080.v1.p1	Spastic Paraplegia, Hereditary
			2020/06/18				./data/phs000280.v7.pht006411.v1.p1.AAA_DERV.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
			2020/12/09				./data/phs002298.v1.pht010761.v1.p1.Skin_Pigmentation_AA_Sample_Attributes.var_report.xml									phs002298.v1.p1	Skin Pigmentation (Melanin Index)
5.0			2021/07/14	6.0			./data/phs001546.v2.pht009974.v1.p1.TOPMed_WGS_DECAF_Subject_Phenotypes.var_report.xml	0.0			1.0					phs001546.v2.p1	Atrial Fibrillation
			2021/07/14				./data/phs001546.v2.pht009973.v1.p1.TOPMed_WGS_DECAF_Sample.var_report.xml									phs001546.v2.p1	Atrial Fibrillation
			2018/09/17				./data/phs001687.v1.pht008359.v1.p1.WABCS_Subject_Phenotypes.var_report.xml									phs001687.v1.p1	Breast Neoplasms
			11/08/2013				./data/phs000200.v9.pht003395.v1.p3.ext_rel2.var_report.xml									phs000200.v9.p3	Women&#39;s Health
			2019/03/11				./data/phs000286.v6.pht008733.v1.p2.asn0027_bnp.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
			03/08/2011				./data/phs000124.v2.pht002172.v1.p1.COG_Neuroblastoma_Sample.var_report_2011_03_08.xml									phs000124.v2.p1	Neuroblastoma
			03/16/2016				./data/phs001000.v1.pht005029.v1.p1.MIGen_Leicester_Sample.var_report.xml									phs001000.v1.p1	Myocardial Infarction
			09/26/2013				./data/phs000519.v1.pht003249.v1.p1.MelanomaRisk_Sample_Attributes.var_report.xml									phs000519.v1.p1	Melanoma
			2019/08/30				./data/phs001331.v2.pht009413.v1.p1.adverse_event.var_report.xml									phs001331.v2.p1	Graft vs Host Disease
			08/20/2013				./data/phs000285.v3.pht001863.v2.p2.F2UCORT.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2020/06/18				./data/phs000280.v7.pht004211.v2.p1.UBMDWF02.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
1.0	3.0		06/28/2013	4.0		1.0	./data/phs000563.v1.pht003084.v1.p1.NF1_Pilocytic_Astrocytoma_Subject_Phenotypes.var_report.xml	0.0	2.0	1.414	3.0			2.0		phs000563.v1.p1	Pilocytic Astrocytoma
			08/20/2013				./data/phs000285.v3.pht001721.v2.p2.D1F21.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
	753.0		11/16/2011	1507.0		1.0	./data/phs000096.v4.pht001550.v1.p1.HAPO_European_Phenotypes.var_report.xml	0.0	502.3	434.2	1507.0			753.0		phs000096.v4.p1	Pregnancy Complications
			2018/04/20				./data/phs001231.v2.pht006182.v2.p1.NeuroLINCS_ALS_SMA_Sample_Attributes.var_report.xml									phs001231.v2.p1	Amyotrophic Lateral Sclerosis
			2020/11/02				./data/phs001899.v2.pht009572.v2.p1.CSI_Sample_Attributes.var_report.xml									phs001899.v2.p1	Immunologic Deficiency Syndromes
			2018/11/13				./data/phs001523.v1.pht007508.v1.p1.MOMS_PI_Subject.var_report.xml									phs001523.v1.p1	Pregnancy
			2020/06/18				./data/phs000280.v7.pht004056.v2.p1.CNFB04.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
			2017/12/20				./data/phs000577.v1.pht007281.v1.p1.nutrientdataform.var_report.xml									phs000577.v1.p1	Urea Cycle Disorders, Inborn
			08/12/2016				./data/phs000888.v1.pht005556.v1.p1.05aAsthma_hx_asthma_allergy.var_report.xml									phs000888.v1.p1	
1745.0	1745.0		2021/06/08	3352.0		1607.0	./data/phs001217.v3.pht007762.v1.p1.TOPMed_WGS_GenSalt_Pedigree.var_report.xml	0.0	1676.0	97.58	1607.0			1676.0		phs001217.v3.p1	Arterial Pressure, Mean
			05/11/2016				./data/phs000963.v1.pht004859.v1.p1.Statins_CV_Sample_Attributes.var_report.xml									phs000963.v1.p1	Myocardial Revascularization
3570.0	3570.0		11/09/2016	7012.0		3442.0	./data/phs001037.v1.pht005917.v1.p1.TEDDY_Pedigree.var_report.xml	0.0	3506.0	90.51	3442.0			3506.0		phs001037.v1.p1	Diabetes Mellitus, Type 1
1379.0	1379.0		03/12/2013	2164.0		785.0	./data/phs000343.v3.pht002215.v1.p1.DERIV.var_report.xml	0.0	1082.0	420	785.0			1082.0		phs000343.v3.p1	Stroke
			2021/04/08				./data/phs002344.v1.pht011121.v1.p1.PAX3_FOXO1_RMS_Sample.var_report.xml									phs002344.v1.p1	Rhabdomyosarcoma
			2019/07/29				./data/phs001855.v1.pht009248.v1.p1.STRRIDE_Sample.var_report.xml									phs001855.v1.p1	Exercise
922.0	63.0		01/06/2010	2026.0		922.0	./data/phs000199.v1.pht000892.v1.p1.CHOP_CNV_Pedigree.var_report_2010_01_06.xml	0.0	52.5	14.85	63.0			52.5		phs000199.v1.p1	Normalcy
			01/13/2014				./data/phs000666.v1.pht003575.v1.p1.Elderly_Influenza_Vaccine_Sample_Attributes.var_report.xml									phs000666.v1.p1	Influenza Vaccines
			07/24/2017				./data/phs001088.v1.pht006671.v1.p1.DRIVE_SBCGS_Sample_Attributes.var_report.xml									phs001088.v1.p1	Breast Neoplasms
			2017/08/16				./data/phs001055.v1.pht005914.v1.p1.DeNovo_Mutation_Rates_Subject_Phenotypes.var_report.xml									phs001055.v1.p1	Preterm Birth
			08/20/2013				./data/phs000285.v3.pht001673.v2.p2.C1F31AC.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
673.0	694.0		2020/03/09	437.0		673.0	./data/phs001299.v2.pht007622.v1.p1.Nicotine_Addiction_Subject_Phenotypes.var_report.xml	0.0	683.5	48.08	694.0			683.5		phs001299.v2.p1	Behavior, Addictive
			2019/05/07				./data/phs001329.v2.pht007174.v2.p1.vabs.var_report.xml									phs001329.v2.p1	Mucolipidosis IV
			08/20/2013				./data/phs000285.v3.pht001699.v2.p2.CARE_ICAM.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2018/03/26				./data/phs000697.v1.pht007696.v1.p1.concomitantmedications.var_report.xml									phs000697.v1.p1	Myelodysplastic Syndromes
			07/18/2014				./data/phs000733.v1.pht003819.v1.p1.Familial_Prostate_Cancer_Subject.var_report.xml									phs000733.v1.p1	Prostate cancer, familial
			2020/08/05				./data/phs001856.v1.pht009598.v1.p1.CORECT_Axiom_Sample.var_report.xml									phs001856.v1.p1	Colorectal Neoplasms
			2021/07/19				./data/phs001606.v2.pht010088.v1.p1.TOPMed_WGS_EGCUT_Subject.var_report.xml									phs001606.v2.p1	Atrial Fibrillation
			08/08/2011				./data/phs000353.v1.pht002248.v1.p1.Preterm_Birth_AA_Subject.var_report.xml									phs000353.v1.p1	Premature Birth
			2018/09/19				./data/phs000257.v3.pht001250.v2.p1.HMP_Gut_Crohns_Function_Subject_Phenotypes.var_report.xml									phs000257.v3.p1	Crohn Disease
			01/26/2015				./data/phs000837.v1.pht004441.v1.p1.22q11DS_Subject_Phenotypes.var_report.xml									phs000837.v1.p1	Tetralogy of Fallot
			08/28/2015				./data/phs000977.v1.pht004955.v1.p1.Desmoplastic_Melanoma_Sample.var_report.xml									phs000977.v1.p1	Melanoma
			03/10/2015				./data/phs000855.v1.pht004554.v1.p1.Lung_Cancer_Resistance_Sample_Attributes.var_report.xml									phs000855.v1.p1	Carcinoma
			2018/01/11				./data/phs001421.v1.pht007028.v1.p1.Uveal_Melanoma_Pathogenesis_Sample_Attributes.var_report.xml									phs001421.v1.p1	Uveal melanoma
			2018/09/26				./data/phs001130.v1.pht008415.v1.p1.NIDDM_Athero_Hispanic_Subject.var_report.xml									phs001130.v1.p1	Diabetes Mellitus, Type 2
			2018/10/05				./data/phs001660.v1.pht008411.v1.p1.Paclitaxel_Cohort_LUPG_Subject.var_report.xml									phs001660.v1.p1	Paclitaxel
			03/24/2017				./data/phs001336.v1.pht006205.v1.p1.ECLS_HCT_GVHD_Sample.var_report.xml									phs001336.v1.p1	Bone Marrow Transplantation
			2021/09/23				./data/phs001468.v3.pht009553.v1.p1.TOPMed_WGS_REDSIII_Brazil_SCD_Sample.var_report.xml									phs001468.v3.p1	Sickle Cell Anemia
			2018/10/02				./data/phs001519.v1.pht008434.v1.p1.Neoantigen_Cancer_Vaccine_GBM_Sample.var_report.xml									phs001519.v1.p1	Glioblastoma
			10/09/2014				./data/phs000717.v1.pht003811.v1.p1.Circulating_Tumor_Cells_Sample_Attributes.var_report.xml									phs000717.v1.p1	Prostatic Neoplasms
			2019/10/11				./data/phs000996.v2.pht005753.v1.p1.Neurodevelopmental_Metal_Toxicity_Sample_Attributes.var_report.xml									phs000996.v2.p1	
			10/15/2012				./data/phs000512.v1.pht002860.v1.p1.Etiology_HDL_Cholesterol_Subject.var_report.xml									phs000512.v1.p1	Lipoproteins, HDL
			2019/12/06				./data/phs001875.v1.pht009650.v1.p1.Venetoclax_Resistance_Subject.var_report.xml									phs001875.v1.p1	Leukemia, Lymphocytic, Chronic, B-Cell
330.0	330.0		2017/09/22	380.0		50.0	./data/phs001377.v1.pht006944.v1.p1.Cocaine_Nicotine_Addiction_Subject_Phenotypes.var_report.xml	0.0	79.0	80.61	50.0			79.0		phs001377.v1.p1	Cocaine-Related Disorders
			2020/05/27				./data/phs002034.v1.pht010256.v1.p1.Glioma_Grade_Sample_Attributes.var_report.xml									phs002034.v1.p1	Glioma
			2018/08/28				./data/phs001563.v1.pht008322.v1.p1.Blood_Handling_Subject.var_report.xml									phs001563.v1.p1	Cerebral Hemorrhage
			2018/12/06				./data/phs001688.v1.pht008591.v1.p1.Psoriasis_Secukinumab_Sample.var_report.xml									phs001688.v1.p1	Psoriasis
894.0		2.0	08/20/2013	456.0	1.607		./data/phs000285.v3.pht001626.v2.p2.B2F12.var_report.xml	0.0		0.4975	859.0	1.0			2.0	phs000285.v3.p2	Cardiovascular Diseases
			2020/12/21				./data/phs000007.v32.pht006009.v4.p13.l_bdnf_ex02_3b_0878s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2018/04/05				./data/phs001196.v1.pht005701.v1.p1.Schizophrenia_Trios_Taiwanese_Sample_Attributes.var_report.xml									phs001196.v1.p1	Schizophrenia
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000528.v2.p3.simphen129.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			2021/05/05				./data/phs002310.v1.pht011208.v1.p1.InC3_Drug_History.var_report.xml									phs002310.v1.p1	Hepatitis C, Followup studies, Drug dependence
			2020/09/15				./data/phs002234.v1.pht010515.v1.p1.Xq28_Deletion_HH_Sample.var_report.xml									phs002234.v1.p1	Hypogonadism
	1.0		01/11/2017	1.0		1.0	./data/phs001242.v1.pht006073.v1.p1.Enhancers_Misregulate_Oncogenes_Sample_Attributes.var_report.xml	0.0	1.0					1.0		phs001242.v1.p1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
			2018/11/05				./data/phs001690.v1.pht008365.v1.p1.EC_SCNA_Subject.var_report.xml									phs001690.v1.p1	Endometrial Neoplasms
			2020/12/21				./data/phs000007.v32.pht003631.v5.p13.t_pftdiff_2011_m_0648s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2020/06/18				./data/phs000280.v7.pht009479.v2.p1.MCUps1.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
49.0	49.0		2021/07/14	86.0		37.0	./data/phs002484.v1.pht011398.v1.p1.Aging_Lungs_Subject.var_report.xml	0.0	43.0	8.485	37.0			43.0		phs002484.v1.p1	Lung
			10/21/2013				./data/phs000637.v1.pht003535.v1.p1.ALL_Methotrexate_Clearance_Sample.var_report.xml									phs000637.v1.p1	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
			2020/12/02				./data/phs002287.v1.pht010714.v1.p1.ER_Positive_BC_Sample_Attributes.var_report.xml									phs002287.v1.p1	Breast Neoplasms
			Thu Jan 17 21:45:42 2008				./data/phs000019.v1.pht000181.v1.p1.GAIN_control_institution.var_report_2008_08_12.xml									phs000019.v1.p1	Psoriasis
			2020/12/21				./data/phs000007.v32.pht003904.v5.p13.vr_ctdates_2011_m_0715s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			01/19/2010				./data/phs000219.v1.pht001091.v1.p1.d_mhqcountry_trans.var_report_2010_01_19.xml									phs000219.v1.p1	Alzheimer Disease
			08/12/2016				./data/phs000888.v1.pht005571.v1.p1.ACEiCough.var_report.xml									phs000888.v1.p1	
			2019/03/11				./data/phs000286.v6.pht008769.v1.p2.msrc.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
			04/14/2014				./data/phs000370.v2.pht002382.v2.p1.Head_Neck_Squamous_Cell_Carcinoma_Sample.var_report.xml									phs000370.v2.p1	Head and Neck Neoplasms
908.0	908.0		07/06/2016	538.0		85.0	./data/phs001093.v1.pht005612.v1.p1.T2D_GENES_UK_South_Asian_Subject_Phenotypes.var_report.xml	0.0	534.0	528.9	85.0			534.0		phs001093.v1.p1	Diabetes Mellitus, Type 2
			2019/06/14				./data/phs000589.v1.pht009182.v1.p1.baseline_vasculitis_med_form.var_report.xml									phs000589.v1.p1	Takayasu Arteritis
			2020/07/21				./data/phs002035.v1.pht010415.v1.p1.PCD_Sample_Attributes.var_report.xml									phs002035.v1.p1	Ciliary Motility Disorders
			2020/01/23				./data/phs000287.v7.pht001453.v1.p1.BONE_DENSITY_BASE_YR7.var_report.xml									phs000287.v7.p1	Cardiovascular Diseases
			2020/01/31				./data/phs001934.v1.pht009775.v1.p1.Immune_Aging_Sample.var_report.xml									phs001934.v1.p1	
			10/25/2013				./data/phs000671.v1.pht003549.v1.p1.Hairy_Cell_Leukemia_Sample_Attributes.var_report.xml									phs000671.v1.p1	Leukemia, Hairy Cell
1670.0	5754.0		05/16/2017	9361.0		3607.0	./data/phs001252.v1.pht006396.v1.p1.sgrqcomp.var_report.xml	0.0	4681.0	1518	1043.0			4681.0		phs001252.v1.p1	Pulmonary Disease, Chronic Obstructive
			2017/09/22				./data/phs001392.v1.pht006901.v1.p1.pidtc_17826_baselinea.var_report.xml									phs001392.v1.p1	Severe Combined Immunodeficiency
64.0	92.0		04/14/2011	599.0		89.0	./data/phs000258.v2.pht001242.v2.p1.HMP_Gut_Obesity_Sample_Attributes.var_report.xml	0.0	90.5	2.121	61.0			90.5		phs000258.v2.p1	Obesity
2119.0	2450.0		2020/12/21	4569.0		2119.0	./data/phs000007.v32.pht006026.v4.p13.vr_wkthru_ex02_3b_0464s.var_report.xml	0.0	2285.0	29.7	2450.0			2285.0		phs000007.v32.p13	Cardiovascular Diseases
			2018/11/13				./data/phs001523.v1.pht007512.v1.p1.phenotype_healthHistorySurvey.var_report.xml									phs001523.v1.p1	Pregnancy
			2019/09/16				./data/phs001123.v2.pht006062.v2.p1.CAAPA_Sample_Attributes.var_report.xml									phs001123.v2.p1	Asthma
			2019/09/27				./data/phs001576.v2.pht008222.v2.p2.P6705_ADAPTIVEQOL_FCAB.var_report.xml									phs001576.v2.p2	Mucopolysaccharidoses
			11/15/2012				./data/phs000405.v1.pht002609.v1.p1.Mendelian_Malignant_Hyperthermia_Sample.var_report.xml									phs000405.v1.p1	Malignant Hyperthermia
848.0	848.0		05/02/2011	711.0		72.0	./data/phs000349.v1.pht002191.v1.p1.SEA_Phase2_Subject_Phenotypes.var_report.xml	0.0	534.0	444.1	72.0			534.0		phs000349.v1.p1	Atherosclerosis
894.0	894.0		2021/04/07	9225.0		561.0	./data/phs001349.v2.pht010329.v1.p1.TGCT_Subject_Phenotypes.var_report.xml	0.0	561.0	6773	515.0			561.0		phs001349.v2.p1	Testicular Germ Cell Tumor
743.0	743.0		12/19/2011	1231.0		488.0	./data/phs000381.v1.pht002422.v1.p1.GeM_Controls_Subject_Phenotypes.var_report.xml	0.0	615.5	180.3	488.0			615.5		phs000381.v1.p1	Normalcy
			2018/03/27				./data/phs001195.v1.pht006858.v1.p1.Atomoxetine_Methamphetamine_Subject.var_report.xml									phs001195.v1.p1	Sex/Gender Identity
			2021/08/30				./data/phs001933.v1.pht011512.v1.p1.TOPMed_CCDG_UCSF_AF_Sample.var_report.xml									phs001933.v1.p1	Atrial Fibrillation
			06/30/2014				./data/phs000757.v1.pht003922.v1.p1.Hereditary_Ataxias_Sample.var_report.xml									phs000757.v1.p1	Ataxia
			2020/12/18				./data/phs002059.v1.pht010424.v1.p1.DemographicsDS.var_report.xml									phs002059.v1.p1	Heart Defects, Congenital
			2017/12/04				./data/phs000906.v1.pht007146.v1.p1.BMI_ALL.var_report.xml									phs000906.v1.p1	Pharmacogenetics
			2020/06/18				./data/phs000280.v7.pht004095.v2.p1.GTAA04_02.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
2171.0	2171.0		05/20/2015	4069.0		3.0	./data/phs000180.v3.pht000789.v2.p2.T1DGC_Subject_Phenotypes.var_report.xml	0.0	1356.0	1180	1895.0			1895.0		phs000180.v3.p2	Diabetes Mellitus, Type 1
	23.0		2021/03/01	23.0		23.0	./data/phs002294.v1.pht010810.v1.p1.HGSOC_Subject.var_report.xml	0.0	23.0		23.0			23.0		phs002294.v1.p1	Ovarian Neoplasms
			2020/12/21				./data/phs000007.v32.pht004375.v2.p13.vr_npka_1978_0_0872s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			05/17/2017				./data/phs001328.v1.pht006305.v1.p1.cognitive_4to6.var_report.xml									phs001328.v1.p1	Mucopolysaccharidoses
			06/01/2015				./data/phs000912.v1.pht004733.v1.p1.Breast_Cancer_Latina_Sample_Attributes.var_report.xml									phs000912.v1.p1	Breast Neoplasms
